Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000163655,20MAY2017:00:00:00.000,SO01933001,329.82,329.82,Web,RT,au,o410795132,organic,20/05/2017,$628.53
B000684924,20MAY2017:00:00:00.000,SO01933202,139.99,139.99,Web,RECR,au,o441457974,organic,21/05/2017,$266.78
B000620713,21MAY2017:00:00:00.000,SO01933541,179.88,171.88,Web,RT,au,o413220442,organic,22/05/2017,$342.80
B000685599,23MAY2017:00:00:00.000,SO01934862,139.99,139.99,Web,RECR,au,o442569315,organic,23/05/2017,$266.78
B000648177,23MAY2017:00:00:00.000,SO01935146,98.94,99.04,Web,RT,au,o423096249,organic,23/05/2017,$188.55
B000685980,24MAY2017:00:00:00.000,SO01935732,139.99,139.99,Web,RECR,au,o443209971,organic,24/05/2017,$266.78
B000637602,25MAY2017:00:00:00.000,SO01935897,155.88,165.87,Web,RT,au,o443536027,organic,25/05/2017,$297.06
B000318764,26MAY2017:00:00:00.000,SO01938282,227.88,237.87,Web,RT,au,o438212231,organic,26/05/2017,$434.27
B000686873,28MAY2017:00:00:00.000,SO01938961,139.99,139.99,Web,RECR,au,o445281755,organic,28/05/2017,$266.78
B000616412,29MAY2017:00:00:00.000,SO01939301,179.88,194.87,Web,RT,au,o332072640,organic,29/05/2017,$342.80
B000619237,30MAY2017:00:00:00.000,SO01940392,139.99,139.99,Web,RECR,au,o419224655,organic,30/05/2017,$266.78
B000687489,30MAY2017:00:00:00.000,SO01940468,139.99,119.99,Web,RECR,au,o446460344,organic,30/05/2017,$266.78
B000230471,31MAY2017:00:00:00.000,SO01940601,360.72,360.72,Web,RT,au,o418438855,organic,31/05/2017,$687.42
B000589595,31MAY2017:00:00:00.000,SO01941176,191.88,201.87,Web,RT,au,o353398142,organic,31/05/2017,$365.66
B000576814,31MAY2017:00:00:00.000,SO01941278,299.76,299.76,Web,RT,au,o420864555,organic,01/06/2017,$571.25
B000687890,01JUN2017:00:00:00.000,SO01941619,139.99,139.99,Web,RECR,au,o447491698,organic,01/06/2017,$266.78
B000375981,01JUN2017:00:00:00.000,SO01941648,275.76,295.74,Web,EM,au,o414894799,organic,01/06/2017,$525.51
B000283009,01JUN2017:00:00:00.000,SO01942071,278.88,298.86,Web,RT,au,o406965917,organic,02/06/2017,$531.46
B000688106,02JUN2017:00:00:00.000,SO01944051,139.99,139.99,Web,RECR,au,o448253103,organic,02/06/2017,$266.78
B000688155,02JUN2017:00:00:00.000,SO01944257,139.99,139.99,Web,RECR,au,o448391238,organic,02/06/2017,$266.78
B000688459,04JUN2017:00:00:00.000,SO01944968,139.99,139.99,Web,RECR,au,o449486138,organic,04/06/2017,$266.78
B000383744,04JUN2017:00:00:00.000,SO01944991,139.99,139.99,Web,RECR,au,o177861010,organic,04/06/2017,$266.78
B000383744,04JUN2017:00:00:00.000,SO01944996,287.76,307.74,Web,RT,au,o449555048,organic,04/06/2017,$548.38
B000688534,04JUN2017:00:00:00.000,SO01945096,139.99,139.99,Web,RECR,au,o449670239,organic,04/06/2017,$266.78
B000669523,05JUN2017:00:00:00.000,SO01946182,191.88,182.68,Web,EM,au,o421161590,organic,06/06/2017,$365.66
