Transaction ID,Medium,Date,Product Revenue
o1083924867,organic,6/07/2018,$266.78 
o498853001,organic,25/07/2017,$266.78 
o475242793,organic,10/08/2017,$266.78 
o504152293,organic,30/07/2017,$266.78 
o399621963,organic,14/09/2017,$266.78 
o1022763134,organic,2/09/2018,$266.78 
o1105115154,organic,15/07/2018,$266.78 
o411781913,organic,28/02/2017,$266.78 
o511181967,organic,12/08/2017,$266.78 
o241303081,organic,1/12/2017,$266.78 
o448315836,organic,7/07/2017,$266.78 
o456279189,organic,13/06/2017,$266.78 
o516053574,organic,9/08/2017,$266.78 
o930791220,organic,9/05/2018,$266.78 
o874374469,organic,27/06/2018,$266.78 
o636536479,organic,16/01/2018,$266.78 
o919546911,organic,9/07/2018,$266.78 
o592040695,organic,18/10/2017,$266.78 
o420114208,organic,16/07/2018,$266.78 
o435661460,organic,9/05/2017,$266.78 
o1487996591,organic,25/10/2018,$266.78 
o210032321,organic,1/10/2018,$266.78 
o443209971,organic,24/05/2017,$266.78 
o572693592,organic,29/09/2017,$266.78 
o1557540337,organic,10/11/2018,$266.78 
o243411058,organic,2/03/2017,$266.78 
o564792470,organic,19/09/2017,$266.78 
o441457974,organic,21/05/2017,$266.78 
o450941366,organic,6/06/2017,$266.78 
o438266885,organic,14/08/2017,$266.78 
o608817306,organic,6/05/2018,$266.78 
o566833488,organic,22/09/2017,$266.78 
o437985659,organic,15/05/2017,$266.78 
o289537964,organic,23/08/2018,$266.78 
o447514361,organic,16/06/2017,$266.78 
o448253103,organic,2/06/2017,$266.78 
o243460903,organic,10/07/2018,$266.78 
o972066484,organic,26/05/2018,$266.78 
o895678442,organic,27/07/2018,$266.78 
o566855659,organic,21/09/2017,$266.78 
o1488813672,organic,25/10/2018,$266.78 
o535802300,organic,25/08/2017,$266.78 
o898204234,organic,25/04/2018,$266.78 
o549454786,organic,4/09/2017,$266.78 
o745630236,organic,30/03/2018,$266.78 
o889974636,organic,21/04/2018,$266.78 
o844619047,organic,27/03/2018,$266.78 
o412759100,organic,2/03/2017,$266.78 
o558993621,organic,12/09/2017,$266.78 
o946982347,organic,16/05/2018,$266.78 
o702749716,organic,28/03/2018,$266.78 
o409818952,organic,24/02/2017,$266.78 
o534380992,organic,5/03/2018,$266.78 
o833630597,organic,20/03/2018,$266.78 
o1270958802,organic,3/09/2018,$266.78 
o1003628292,organic,7/06/2018,$266.78 
o912878169,organic,1/05/2018,$266.78 
